PC.ID,UTM_E,UTM_N,n_1,n_2,n_3,n_4,n_5,Year
SC02,481644,4744729,NA,0,NA,0,NA,2022
SC03,487191,4731180,NA,0,NA,0,NA,2022
SC04,484052,4727274,NA,0,NA,0,NA,2022
SC06,490123,4747442,0,NA,NA,0,NA,2022
SC08,472849,4736337,NA,0,NA,0,NA,2022
SC09,494180,4748351,NA,0,NA,0,NA,2022
SC10,491345,4744353,0,NA,NA,0,NA,2022
SC11,478463,4741159,0,NA,NA,0,NA,2022
SC13,487941,4723833,NA,0,0,NA,NA,2022
SC16,495334,4736641,NA,0,NA,NA,0,2022
SC17,483276,4740696,0,NA,NA,0,NA,2022
SC18,476147,4743730,0,NA,NA,0,NA,2022
SC20,491508,4724348,NA,0,0,NA,NA,2022
SC22,488380,4753893,NA,0,NA,0,NA,2022
SC25,488949,4733031,NA,NA,NA,0,NA,2022
SC26,490816,4735142,NA,0,NA,0,NA,2022
